task,agent,run,status,success,wall_ms
"01-hello","bench-claude",1,"done",true,24685
"01-hello","bench-ollama",1,"done",true,2577
"01-hello","bench-echo",1,"failed",false,2644
"02-list","bench-claude",1,"done",true,46268
"02-list","bench-ollama",1,"done",true,2058
"02-list","bench-echo",1,"failed",false,2057
"03-math","bench-claude",1,"done",true,34252
"03-math","bench-ollama",1,"done",true,2057
"03-math","bench-echo",1,"failed",false,2057
"04-code-review","bench-claude",1,"running",false,301576
"04-code-review","bench-ollama",1,"done",true,26213
"04-code-review","bench-echo",1,"failed",false,2058
"05-json","bench-claude",1,"queued",false,301666
"05-json","bench-ollama",1,"done",true,14153
"05-json","bench-echo",1,"failed",false,2057
